Program ID,Program Name,Agency,Jurisdiction Level,State,Locality,Category,Status,Status Details,Target Populations,Max Value,Value Type,Value Notes,Entity Types,Size Limits,Industry Restrictions,Candidate Address Matters,Work Site Address Matters,Employer HQ Matters,Custom Logic,Source URL,Source Citation,Confidence Level,Potential Issues,Notes
IL-001,Work Opportunity Tax Credit (WOTC) for Veterans,Illinois Department of Employment Security (IDES),federal,Illinois,,tax_credit,FEDERAL,Federal program with state implementation,veterans,"$9,600 per employee",,,,,,No,No,No,,https://ides.illinois.gov/employer-resources/hiring-solutions/veterans.html,,high,,"Federal tax credit for employers who hire qualified veterans, administered through IDES in Illinois"
IL-002,Illinois Veteran's Tax Credit,Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,veterans,"$5,000 per employee annually",,,,,,No,No,No,,https://worknetdupage.org/employers/employer-hiring-credits/,,high,,"State income tax credit for employers who hire veterans of Operation Desert Storm, Operation Enduring Freedom, or Operation Iraqi Freedom"
IL-003,Work Opportunity Tax Credit (WOTC),Illinois Department of Employment Security (IDES),federal,Illinois,,tax_credit,FEDERAL,Federal program with state implementation,disabilities,"Up to $2,400 per employee",,,,,,No,No,No,,https://ides.illinois.gov/jobs-workforce/programs/wotc.html,,high,,Federal tax credit available to employers who hire and retain individuals with disabilities and other target groups
IL-004,Illinois Income Tax Credit for Hiring Individuals with Developmental Disabilities,Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,disabilities,Varies,,,,,,No,No,No,,https://worknetdupage.org/employers/employer-hiring-credits/,,medium,,State income tax credit available to employers who hire and retain individuals with developmental disabilities or severe mental illness
IL-005,Returning Citizens Credit (Illinois Ex-Felon Tax Credit),Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,ex_offenders,"$7,500 per hire",,,,,,No,No,No,,https://www.chicagogreeninsulation.com/illinois-tax-credits-2025/,,high,,"Illinois tax credit for employers hiring formerly incarcerated individuals, updated in 2025 from previous 5% credit structure"
IL-006,Work Opportunity Tax Credit (WOTC) - Ex-Felons,U.S. Department of Labor / IRS,federal,Illinois,,tax_credit,FEDERAL,Federal program with state implementation,ex_offenders,"$2,400 per employee",,,,,,No,No,No,,https://ides.illinois.gov/jobs-workforce/programs/tax-credit.html,,high,,Federal tax credit for employers hiring ex-felons and other targeted groups
IL-007,Federal Bonding Program,U.S. Department of Labor,federal,Illinois,,bonding,FEDERAL,Federal program with state implementation,ex_offenders,"Up to $25,000 coverage",,,,,,No,No,No,,https://bonds4jobs.com,,medium,,"Free fidelity bonding insurance for employers hiring at-risk job seekers including ex-offenders, protecting against employee theft"
IL-008,TANF Work Supplementation Program,Illinois Department of Human Services,state,Illinois,,wage_subsidy,ACTIVE,Active wage_subsidy program with direct employer benefit,tanf_snap,Varies,,,,,,No,No,No,,https://www.ilga.gov/ftp/JCAR/AdminCode/089/089001120C00780R.html,,high,,Wage subsidies paid to employers who hire TANF program participants
IL-009,Jobs Tax Credit - High-Risk Youth,City of Chicago,local,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,youth,"Up to $2,100 per high-risk youth hire",,,,,,No,No,No,,https://loopchicago.com/do-business/invest/incentive-programs/,,medium,,Employer wage credits for hiring high-risk youth who reside in targeted areas of Chicago
IL-010,Illinois Jobs Tax Credit,City of Chicago,local,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,youth,$500 credit per qualifying hire,,,,,,No,No,No,,https://loopchicago.com/do-business/invest/incentive-programs/,,medium,,"Tax credit available to businesses for qualifying hires, including youth employment initiatives"
IL-011,Enterprise Zone Job Tax Credit,Illinois Department of Commerce and Economic Opportunity,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,long_term_unemployed,"$5,000 per employee",,,,,,No,No,No,,https://worknetdupage.org/employers/employer-hiring-credits/,,medium,,"State income tax credit for businesses located in Illinois Enterprise Zones that hire qualified employees, including those from economically disadvantaged areas"
IL-012,Illinois Small Business Job Creation Tax Credit,Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,long_term_unemployed,Varies,,,,,,No,No,No,,https://illinoisaccountants.com/wp-content/uploads/2020/09/e-illinois-small-business-job-creation-tax-credit-information.pdf,,medium,,"State tax credit for small businesses that create new full-time positions, which can benefit long-term unemployed individuals"
IL-013,WorkShare IL,Illinois Department of Employment Security (IDES),state,Illinois,,unknown,NON-INCENTIVE,Program does not provide direct benefit to employers,long_term_unemployed,Varies,,,,,,No,No,No,,https://ides.illinois.gov/employer-resources/workshare-il.html,,low,,"Program that allows employers to reduce layoffs by sharing work among employees, with partial unemployment benefits supplementing reduced wages - helps prevent long-term unemployment"
