Program ID,Program Name,Agency,Jurisdiction Level,State,Locality,Category,Status,Status Details,Target Populations,Max Value,Value Type,Value Notes,Entity Types,Size Limits,Industry Restrictions,Candidate Address Matters,Work Site Address Matters,Employer HQ Matters,Custom Logic,Source URL,Source Citation,Confidence Level,Potential Issues,Notes
IL-001,Illinois Veterans Tax Credit,Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,veterans,"$5,000 per employee annually",,,,,,No,No,No,,https://worknetdupage.org/employers/employer-hiring-credits/,,high,,"State income tax credit for employers hiring Veterans of Operation Desert Storm, Operation Enduring Freedom, or Operation Iraqi Freedom"
IL-002,Illinois Hires Heroes Consortium,Commercial Club of Chicago,local,Illinois,,unknown,NON-INCENTIVE,Program does not provide direct benefit to employers,veterans,Varies,,,,,,No,No,No,,https://commercialclubchicago.org/veterans-employment-resources/,,medium,,"Employer consortium providing networking and resources for hiring veterans, may include preferential access to qualified candidates"
IL-003,Cook County Veterans Employment and Job Training,Cook County,local,Illinois,,training_grant,ACTIVE,Active training_grant program with direct employer benefit,veterans,Varies,,,,,,No,No,No,,https://www.cookcountyil.gov/service/employment-and-job-training,,low,,Cook County program that may provide employer incentives or training subsidies for hiring veterans
IL-004,Illinois Department of Central Management Services Veterans Hiring Initiative,Illinois Department of Central Management Services,state,Illinois,,other,NON-INCENTIVE,Flagged as non-incentive by verification phase,veterans,Varies,,,,,,No,No,No,,https://veterans.illinois.gov/services-benefits/employment-resources.html,,low,,State procurement preferences or contracting advantages for businesses that hire veterans
IL-005,IDES Veteran Hiring Solutions Program,Illinois Department of Employment Security (IDES),state,Illinois,,wage_subsidy,ACTIVE,Active wage_subsidy program with direct employer benefit,veterans,Varies,,,,,,No,No,No,,https://ides.illinois.gov/jobs-workforce/veterans.html,,medium,,"Comprehensive program that may include employer incentives, training grants, or wage subsidies for veteran hiring"
IL-006,Work Opportunity Tax Credit (WOTC) - Illinois,Illinois Department of Employment Security (IDES),federal,Illinois,,tax_credit,ACTIVE,Program status indicates expired or discontinued,disabilities,"$2,400 per employee",,,,,,No,No,No,,https://ides.illinois.gov/jobs-workforce/programs/tax-credit.html,,high,, | WOTC expired 12/31/2025 - Pending Congressional reauthorization (historically reauthorized retroactively) | Historically reauthorized retroactively since 1996. Keep as ACTIVE with expiration warning.
IL-007,Illinois Income Tax Credit for Hiring Individuals with Disabilities,Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,disabilities,Varies,,,,,,No,No,No,,https://worknetdupage.org/employers/employer-hiring-credits/,,medium,,State income tax credit available to employers who hire and retain individuals with disabilities
IL-008,Economic Development for a Growing Economy Tax Credit (EDGE),Illinois Department of Commerce and Economic Opportunity,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,disabilities,Varies,,,,,,No,No,No,,http://www.employmentincentives.com/state_incentives/Illinois/il_tax_incentives.htm,,low,,"Tax credit program that ran 2012-2016, some jobs created could be held by workers with disabilities"
IL-009,Illinois Senate Bill 2744 - Developmental Disabilities Tax Credit,Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,disabilities,Varies,,,,,,No,No,No,,https://www.billtrack50.com/billdetail/1928425,,low,,Proposed tax credit for employers who hire individuals with developmental disabilities or severe mental illness
IL-010,Illinois Employment First Initiative,Illinois Department of Human Services (IDHS),state,Illinois,,unknown,ACTIVE,Active unknown program with direct employer benefit,disabilities,Varies,,,,,,No,No,No,,https://www.dhs.state.il.us/page.aspx?item=80571,,low,,"State policy promoting community-based, integrated employment - may include employer incentives or supports"
IL-011,Illinois Vocational Rehabilitation Services - Employer Incentives,Illinois Department of Human Services - Division of Rehabilitation Services,state,Illinois,,training_grant,ACTIVE,Active training_grant program with direct employer benefit,disabilities,Varies,,,,,,No,No,No,,https://www.illinoisworknet.com/disabilityguide,,medium,,"May provide employer supports, training subsidies, or other incentives for hiring VR clients"
IL-012,Alternative Employment Program,State of Illinois - Department of Central Management Services,state,Illinois,,unknown,ACTIVE,Active unknown program with direct employer benefit,disabilities,Not applicable,,,,,,No,No,No,,https://careers.illinois.gov/employment-resources/disabpgm.html,,high,,Program for current state employees who become disabled - not an employer incentive for external hiring
IL-013,Ticket to Work Program - Illinois,Social Security Administration,federal,Illinois,,other,NON-INCENTIVE,Flagged as non-incentive by verification phase,disabilities,Varies,,,,,,No,No,No,,https://www.illinoisworknet.com/disabilityguide,,low,,Federal program that may provide employer supports or incentives for hiring SSI/SSDI beneficiaries
IL-014,Illinois Ex-Offender Tax Credit,Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,ex_offenders,5 percent tax credit,,,,,,No,No,No,,https://www.networkforphl.org/wp-content/uploads/2017/11/Employment-Tax-Incentives-and-Ex_Offender-Health.pdf,,medium,,Illinois state tax credit for employers hiring ex-offenders
IL-015,Illinois Formerly Incarcerated Hiring Tax Credit (2025),Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,ex_offenders,"$7,500 per hire",,,,,,No,No,No,,https://www.chicagogreeninsulation.com/illinois-tax-credits-2025/,,medium,,"New Illinois tax credit beginning January 1, 2025 for employers hiring formerly incarcerated individuals"
IL-016,Enterprise Zone Job Tax Credit,Illinois Department of Commerce and Economic Opportunity,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,ex_offenders,Varies,,,,,,No,No,No,,https://worknetdupage.org/employers/employer-hiring-credits/,,low,,Tax credit for businesses located in Illinois Enterprise Zones that may include hiring incentives for disadvantaged workers including ex-offenders
IL-017,Federal Bonding Program,U.S. Department of Labor / Illinois Department of Employment Security,federal,Illinois,,bonding,FEDERAL,Federal program with state implementation,ex_offenders,"$5,000 fidelity bond coverage",,,,,,No,No,No,,https://ides.illinois.gov/jobs-workforce/programs/re-entry.html,,high,,Free fidelity bonding insurance for employers hiring ex-offenders and other at-risk job seekers
IL-018,Re-Entry Employment Service Program (RESP),Illinois Department of Employment Security (IDES),state,Illinois,,service,NON-INCENTIVE,Service does not provide tangible cost reduction for employers,ex_offenders,Varies,,,,,,No,No,No,,https://ides.illinois.gov/jobs-workforce/programs/re-entry.html,,low,,Program providing employment services for justice-impacted individuals - may include employer incentives or supports
IL-019,Training & Employment for Ex-Offenders Program,Illinois Department of Human Services (IDHS),state,Illinois,,training_grant,ACTIVE,Active training_grant program with direct employer benefit,ex_offenders,Varies,,,,,,No,No,No,,https://www.dhs.state.il.us/page.aspx?item=35568,,low,,Training and employment program for ex-offenders that may include employer training subsidies or wage supports
IL-020,Illinois Employer Hiring Credits for Veterans,Illinois Department of Employment Security,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,tanf_snap,"$5,000 annually",,,,,,No,No,No,,https://worknetdupage.org/employers/employer-hiring-credits/,,medium,,"State income tax credit for hiring veterans, may include veterans receiving TANF/SNAP"
IL-021,Illinois Recovery and Mental Health Hiring Credit,Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,tanf_snap,Varies,,,,,,No,No,No,,https://answerconnect.cch.com/document/jil014eeac7352c3e4b7d893b2e23a0ae480f/state/explanations/illinois/job-creation-hiring-credits-recovery-and-mental-health-credit,,medium,,"Income tax credit for employers hiring individuals in recovery from substance use disorder or mental health issues, may overlap with TANF/SNAP population"
IL-022,TANF Job Placement with Retention Program,Illinois Department of Human Services,state,Illinois,,service,ACTIVE,Active service program with direct employer benefit,tanf_snap,Varies,,,,,,No,No,No,,https://www.dhs.state.il.us/page.aspx?item=160348,,low,,"Program connecting TANF recipients with employers, may include employer incentives or support services"
IL-023,SNAP Employment & Training Job Placement Program,Illinois Department of Human Services,state,Illinois,,training_grant,ACTIVE,Active training_grant program with direct employer benefit,tanf_snap,Varies,,,,,,No,No,No,,https://www.dhs.state.il.us/page.aspx?item=166375,,medium,,"Provides employer-driven training opportunities for SNAP recipients, may include training subsidies for employers"
IL-024,SNAP Employment & Training Earnfare Program,Illinois Department of Human Services,state,Illinois,,wage_subsidy,ACTIVE,Active wage_subsidy program with direct employer benefit,tanf_snap,Varies,,,,,,No,No,No,,https://omb.illinois.gov/public/gata/csfa/Program.aspx?csfa=705,,medium,,Work experience program for SNAP recipients that may provide wage subsidies or work experience placements for employers
IL-025,SIU SNAP and TANF Employment Network,Southern Illinois University Career Pathways,local,Illinois,,unknown,ACTIVE,Active unknown program with direct employer benefit,tanf_snap,Varies,,,,,,No,No,No,,https://careerpathways.siu.edu/snap_and_tanf_job_placement.php,,low,,"Network of employers providing work experience for TANF/SNAP recipients, may include employer incentives or support"
IL-026,Illinois Youth Investment Program (IYIP),Illinois Department of Human Services (IDHS),state,Illinois,,wage_subsidy,ACTIVE,Active wage_subsidy program with direct employer benefit,youth,Varies,,,,,,No,No,No,,https://www.dhs.state.il.us/page.aspx?item=126652,,medium,,Multi-faceted approach to youth employment that partners with employers to provide employment for at-risk transitional youth
IL-027,DHS Youth Partners Employer Benefits,Illinois Department of Human Services (IDHS),state,Illinois,,unknown,NON-INCENTIVE,Program does not provide direct benefit to employers,youth,Varies,,,,,,No,No,No,,https://www.illinoisworknet.com/DHSyouth/Pages/Employer-Benefits.aspx,,low,,Employer benefits program through DHS Youth Partners providing various incentives for hiring youth
IL-028,Hire The Future Program,Illinois Department of Employment Security (IDES),state,Illinois,,unknown,ACTIVE,Active unknown program with direct employer benefit,youth,Varies,,,,,,No,No,No,,https://ides.illinois.gov/jobs-workforce/programs/hire-the-future.html,,low,,"Program connecting qualified job seekers with employers, may include employer incentives"
IL-029,Youth Employment Program Benefits,Illinois workNet,state,Illinois,,training_grant,ACTIVE,Active training_grant program with direct employer benefit,youth,Varies,,,,,,No,No,No,,https://www.illinoisworknet.com/Pages/Article.aspx?ArticleId=337,,low,,Employer benefits for participating in Youth Employment Programs to decrease barriers to training and employment
IL-030,Illinois Small Business Job Creation Tax Credit,State of Illinois,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,long_term_unemployed,Varies,,,,,,No,No,No,,https://illinoisaccountants.com/wp-content/uploads/2020/09/e-illinois-small-business-job-creation-tax-credit-information.pdf,,medium,,Tax credits for small businesses that create new full-time positions
IL-031,WorkShare IL,Illinois Department of Employment Security (IDES),state,Illinois,,wage_subsidy,ACTIVE,Active wage_subsidy program with direct employer benefit,long_term_unemployed,Varies,,,,,,No,No,No,,https://ides.illinois.gov/employer-resources/workshare-il.html,,medium,,Program providing partial unemployment benefits to employees working reduced hours as alternative to layoffs
IL-032,Illinois Talent Pipeline Program,Illinois WorkNet,state,Illinois,,training_grant,ACTIVE,Active training_grant program with direct employer benefit,long_term_unemployed,Varies,,,,,,No,No,No,,https://www.illinoisworknet.com/iltalent_rfa,,medium,,Grants to help businesses avoid layoffs and help unemployed workers re-enter workforce through training
IL-033,WIOA Funding Assistance,Illinois WorkNet Centers,federal,Illinois,,training_grant,FEDERAL,Federal program with state implementation,long_term_unemployed,Varies,,,,,,No,No,No,,https://worknet20.org/wioa-funding-assistance/,,low,,Workforce Innovation and Opportunity Act funding that may include employer training incentives
IL-034,Federal Tax Credits for Economically Disadvantaged Workers,Illinois Department of Employment Security (IDES),federal,Illinois,,tax_credit,FEDERAL,Federal program with state implementation,long_term_unemployed,"$2,400 per employee",,,,,,No,No,No,,https://ides.illinois.gov/jobs-workforce/programs/tax-credit.html,,medium,,Federal tax credits for employers hiring economically disadvantaged workers including welfare recipients and ex-felons
IL-035,WIOA On-the-Job Training (OJT),"U.S. Department of Labor, Illinois workNet",federal,Illinois,,wage_subsidy,FEDERAL,Federal program with state implementation,federal_programs,Up to 75% wage reimbursement during training period (typically 50%),,,,,,No,No,No,,https://www.illinoisworknet.com/DownloadPrint/OJT_Flyer_FINAL.pdf,,high,,Hire-first program providing wage reimbursement to employers who hire and train eligible individuals
