Program ID,Program Name,Agency,Jurisdiction Level,State,Locality,Category,Status,Status Details,Target Populations,Max Value,Value Type,Value Notes,Entity Types,Size Limits,Industry Restrictions,Candidate Address Matters,Work Site Address Matters,Employer HQ Matters,Custom Logic,Source URL,Source Citation,Confidence Level,Potential Issues,Notes
AR-001,Work Opportunity Tax Credit (WOTC) - Veterans,Internal Revenue Service / Arizona Commerce Authority,federal,Arizona,,tax_credit,ACTIVE,Program status indicates expired or discontinued,tanf_snap,"$9,600 per employee",,,,,,No,No,No,,https://www.azcommerce.com/incentives/work-opportunity-tax-credit/,,high,, | WOTC expired 12/31/2025 - Pending Congressional reauthorization (historically reauthorized retroactively) | Historically reauthorized retroactively since 1996. Keep as ACTIVE with expiration warning.
AR-002,Arizona Credit for Employing National Guard Members,Arizona Department of Revenue,state,Arizona,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,veterans,Varies,,,,,,No,No,No,,https://azdor.gov/taxonomy/term/1191?page=3,,high,,Arizona state tax credit for employers who hire and retain members of the Arizona National Guard
AR-003,Arizona Veterans Hiring Tax Credit (HB 2147),Arizona Department of Revenue,state,Arizona,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,veterans,Varies,,,,,,No,No,No,,http://www.azleg.gov/legtext/51leg/2r/bills/hb2147p.pdf,,medium,,State tax credit for veterans hiring - referenced in 2014 legislation
AR-004,Arizona Veteran Supportive Employer (AVSE) Program,Arizona Coalition for Military Families / Be Connected,state,Arizona,,other,NON-INCENTIVE,Flagged as non-incentive by verification phase,veterans,Non-monetary benefits,,,,,,No,No,No,,https://connectveterans.org/avse/,,medium,,Voluntary designation program providing training and resources to employers for veteran recruitment and retention
AR-005,ARIZONA@WORK Veterans Employment Services,Arizona Department of Economic Security,state,Arizona,,service,NON-INCENTIVE,Service does not provide tangible cost reduction for employers,veterans,Varies,,,,,,No,No,No,,https://arizonaatwork.com/explore-services/veterans,,low,,Support programs for veterans employment that may include employer incentives or services
AR-006,HonorHealth Military Recruitment Program,Private Employer Program,local,Arizona,,service,NON-INCENTIVE,Program does not provide direct benefit to employers,veterans,Unknown,,,,,,No,No,No,,https://jobs.honorhealth.com/military-recruitment,,low,,Private employer program offering civilian work experience to service members - may indicate broader incentive programs
AR-007,Quality Jobs Tax Credit Program,Arizona Commerce Authority,state,Arizona,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,disabilities,Varies based on wage levels,,,,,,No,No,No,,http://www.employmentincentives.com/state_incentives/Arizona/az_tax_incentives.htm,,medium,,Arizona state tax credit for creating quality jobs that could include qualified employees with disabilities
AR-008,Arizona Developmental Disabilities Tax Credit,Arizona Developmental Disabilities Planning Council,state,Arizona,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,disabilities,No limit on number of qualified individuals,,,,,,No,No,No,,https://addpc.az.gov/sites/default/files/Business%20Tax%20Credits%20Press%20Release%2010-21-22%20%28JM%20edits%2010-21-22%29%202%20JM2%20%283%29.pdf,,high,,Arizona tax credit for businesses hiring people with developmental disabilities with no limit on qualified hires
AR-009,Federal Bonding Program,U.S. Department of Labor / Arizona Department of Economic Security,federal,Arizona,,bonding,FEDERAL,Federal program with state implementation,disabilities,"$25,000 fidelity bond coverage",,,,,,No,No,No,,https://arizonaatwork.com/explore-services/disability-access,,medium,,Free fidelity bonding for employers hiring individuals with disabilities and other at-risk populations
AR-010,Vocational Rehabilitation Employer Services,Arizona Rehabilitation Services Administration,state,Arizona,,training_grant,ACTIVE,Active training_grant program with direct employer benefit,disabilities,Varies,,,,,,No,No,No,,https://arizonaatwork.com/explore-services/disability-access,,medium,,Training subsidies and support services for employers hiring individuals with disabilities through VR services
AR-011,On-the-Job Training (OJT) Program,Arizona Department of Economic Security,state,Arizona,,wage_subsidy,ACTIVE,Active wage_subsidy program with direct employer benefit,disabilities,Up to 50% wage reimbursement,,,,,,No,No,No,,https://arizonaatwork.com/explore-services/disability-access,,medium,,Wage subsidies for employers providing on-the-job training to individuals with disabilities
AR-012,Ticket to Work Program,Social Security Administration,federal,Arizona,,unknown,FEDERAL,Federal program with state implementation,disabilities,Varies,,,,,,No,No,No,,https://disabilityrightsaz.org/resources/employment/,,low,,Federal program that may provide employer incentives for hiring SSI/SSDI beneficiaries
AR-013,Arizona Employment First Initiative,Sonoran Center for Excellence in Disabilities,state,Arizona,,unknown,ACTIVE,Active unknown program with direct employer benefit,disabilities,Unknown,,,,,,No,No,No,,https://sonorancenter.arizona.edu/azemploymentfirst,,low,,State initiative promoting competitive integrated employment that may include employer incentives
AR-014,Assistive Technology Accommodation Grants,Arizona@Work,state,Arizona,,training_grant,ACTIVE,Active training_grant program with direct employer benefit,disabilities,Varies,,,,,,No,No,No,,https://arizonaatwork.com/explore-services/disability-access,,low,,Potential grants or subsidies for employers to provide assistive technology accommodations
