Program ID,Program Name,Agency,Jurisdiction Level,State,Locality,Category,Status,Status Details,Target Populations,Max Value,Value Type,Value Notes,Entity Types,Size Limits,Industry Restrictions,Candidate Address Matters,Work Site Address Matters,Employer HQ Matters,Custom Logic,Source URL,Source Citation,Confidence Level,Potential Issues,Notes
IL-001,Work Opportunity Tax Credit (WOTC),Illinois Department of Employment Security (IDES),federal,Illinois,,tax_credit,FEDERAL,Federal program with state implementation,veterans,"$9,600 per employee",,,,,,No,No,No,,https://ides.illinois.gov/employer-resources/hiring-solutions/veterans.html,,high,,"Federal tax credit for employers who hire qualified veterans, with credit amounts varying based on veteran status and hours worked"
IL-002,Illinois Veteran's Tax Credit,State of Illinois,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,veterans,"$5,000 per employee annually",,,,,,No,No,No,,https://worknetdupage.org/employers/employer-hiring-credits/,,high,,"State income tax credit for employers who hire veterans of Operation Desert Storm, Operation Enduring Freedom, or Operation Iraqi Freedom"
IL-003,Illinois Income Tax Credit for Hiring Individuals with Disabilities,Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,disabilities,Varies,,,,,,No,No,No,,https://worknetdupage.org/employers/employer-hiring-credits/,,medium,,State income tax credit available to employers who hire and retain individuals with disabilities
IL-004,Tax Credit for Employers Hiring Individuals with Developmental Disabilities,Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,disabilities,Varies,,,,,,No,No,No,,https://www.billtrack50.com/billdetail/1928425,,low,,Proposed/enacted tax credit under Illinois Income Tax Act for employers who hire individuals with developmental disabilities or severe mental illness
IL-005,Returning Citizens Credit (Ex-Felon Tax Credit),Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,ex_offenders,5% tax credit,,,,,,No,No,No,,https://craykaiser.com/maximizing-tax-benefits-understanding-the-returning-citizens-credit/,,high,,"Illinois state tax credit for employers hiring formerly incarcerated individuals, originally introduced in 2006"
IL-006,Illinois Hiring Tax Credit for Formerly Incarcerated Individuals,Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,ex_offenders,"$7,500 per hire",,,,,,No,No,No,,https://www.chicagogreeninsulation.com/illinois-tax-credits-2025/,,medium,,"New Illinois tax credit beginning January 1, 2025, for employers hiring formerly incarcerated individuals"
IL-007,TANF Work Supplementation Program,Illinois Department of Human Services,state,Illinois,,wage_subsidy,ACTIVE,Active wage_subsidy program with direct employer benefit,tanf_snap,Varies,,,,,,No,No,No,,https://www.ilga.gov/ftp/JCAR/AdminCode/089/089001120C00780R.html,,high,,Wage subsidies paid to employers who hire TANF program participants
IL-008,SNAP Employment & Training Job Placement Program,Illinois Department of Human Services,state,Illinois,,training_grant,ACTIVE,Active training_grant program with direct employer benefit,tanf_snap,Varies,,,,,,No,No,No,,https://www.dhs.state.il.us/page.aspx?item=166375,,medium,,Employer-driven training opportunities for work eligible SNAP recipients with employer partnerships
IL-009,Chicago Loop Jobs Tax Credit,City of Chicago,local,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,youth,"$500 credit plus up to $2,100 for high-risk youth",,,,,,No,No,No,,https://loopchicago.com/do-business/invest/incentive-programs/,,medium,,"Employer wage credits up to $2,100 for hiring 'high-risk youth' who reside in specific areas, plus $500 general jobs tax credit"
IL-010,Enterprise Zone Job Tax Credit,Illinois Department of Commerce and Economic Opportunity,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,long_term_unemployed,"$5,000 per employee",,,,,,No,No,No,,https://worknetdupage.org/employers/employer-hiring-credits/,,medium,,"Illinois state income tax credit for businesses located in Enterprise Zones that hire eligible workers, including long-term unemployed"
IL-011,Illinois Small Business Job Creation Tax Credit,Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,long_term_unemployed,Varies,,,,,,No,No,No,,https://illinoisaccountants.com/wp-content/uploads/2020/09/e-illinois-small-business-job-creation-tax-credit-information.pdf,,medium,,"State tax credit for small businesses creating new full-time positions, which can include hiring long-term unemployed workers"
IL-012,Federal Bonding Program,"U.S. Department of Labor, McLaughlin Company (contractor)",federal,Illinois,,bonding,FEDERAL,Federal program with state implementation,federal_programs,"Up to $25,000 fidelity bond coverage for 6 months (free to employer)",,,,,,No,No,No,,https://bonds4jobs.com/our-services/employers,,high,,Provides free fidelity bond insurance coverage to employers hiring at-risk job applicants
IL-013,WIOA On-the-Job Training (OJT),"U.S. Department of Labor, Illinois Department of Commerce and Economic Opportunity",federal,Illinois,,wage_subsidy,FEDERAL,Federal program with state implementation,federal_programs,Up to 75% wage reimbursement (typically 50%) during training period,,,,,,No,No,No,,https://worknet20.org/on-the-job-training/,,high,,Wage reimbursement to employers for training costs while new employees learn job-specific skills
