Program ID,Program Name,Agency,Jurisdiction Level,State,Locality,Category,Status,Status Details,Target Populations,Max Value,Value Type,Value Notes,Entity Types,Size Limits,Industry Restrictions,Candidate Address Matters,Work Site Address Matters,Employer HQ Matters,Custom Logic,Source URL,Source Citation,Confidence Level,Potential Issues,Notes
IL-001,Illinois Veterans Hiring Tax Credit,Illinois Department of Revenue / IDES,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,veterans,"$5,000 per employee annually",,,,,,No,No,No,,https://worknetdupage.org/employers/employer-hiring-credits/,,high,,"Illinois state income tax credit for hiring Veterans of Operation Desert Storm, Operation Enduring Freedom, and Operation Iraqi Freedom"
IL-002,Illinois Military Spouse Hiring Tax Credit,Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,veterans,"$5,000 per employee",,,,,,No,No,No,,https://www.billtrack50.com/billdetail/1821709,,medium,,Proposed Illinois tax credit for employers who hire military spouses
IL-003,IDES Veteran Recruitment and Hiring Services,Illinois Department of Employment Security (IDES),state,Illinois,,service,NON-INCENTIVE,Program does not provide direct benefit to employers,veterans,Varies,,,,,,No,No,No,,https://ides.illinois.gov/employer-resources/hiring-solutions/veterans.html,,low,,"Employer services for recruiting and hiring veterans, may include additional incentives or supports"
IL-004,Cook County Veterans Employment and Job Training,Cook County,local,Illinois,,training_grant,ACTIVE,Active training_grant program with direct employer benefit,veterans,Varies,,,,,,No,No,No,,https://www.cookcountyil.gov/service/employment-and-job-training,,low,,Cook County program that may provide employer incentives or supports for hiring veterans
IL-005,Illinois Department of Central Management Services Veteran Hiring Initiative,Illinois Department of Central Management Services,state,Illinois,,service,NON-INCENTIVE,Service does not provide tangible cost reduction for employers,veterans,Varies,,,,,,No,No,No,,https://veterans.illinois.gov/services-benefits/employment-resources.html,,low,,State program with dedicated personnel for veteran employment that may include contractor or employer incentives
IL-006,Illinois State Income Tax Credit for Hiring Individuals with Disabilities,Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,disabilities,Varies,,,,,,No,No,No,,https://worknetdupage.org/employers/employer-hiring-credits/,,medium,,State income tax credit available to employers who hire and retain individuals with disabilities
IL-007,Tax Incentives for Small Businesses Supporting Accessibility,Illinois Attorney General's Office,federal,Illinois,,tax_credit,FEDERAL,Federal program with state implementation,disabilities,Varies,,,,,,No,No,No,,https://illinoisattorneygeneral.gov/Page-Attachments/tax_incentives.pdf,,medium,,Tax credits and deductions available for businesses to remove architectural and transportation barriers for customers with disabilities
IL-008,Illinois Employment First Initiative,Illinois Department of Human Services (IDHS),state,Illinois,,unknown,ACTIVE,Active unknown program with direct employer benefit,disabilities,Unknown,,,,,,No,No,No,,https://www.dhs.state.il.us/page.aspx?item=80571,,low,,"State initiative promoting community-based, integrated employment - may include employer incentives or supports"
IL-009,Illinois HB 0040 Disabled Hiring Incentives,Illinois Department of Human Services,state,Illinois,,unknown,NON-INCENTIVE,Program does not provide direct benefit to employers,disabilities,Unknown,,,,,,No,No,No,,https://leadcenter.org/state_policies/illinois-disabled-hiring-incentives-hb-0040/,,low,,Legislative bill requiring DHS to collect information on hiring incentives for disabled workers (2009-2011 period)
IL-010,Illinois Tax Credit Program for Economically Disadvantaged Workers,Illinois Department of Employment Security (IDES),federal,Illinois,,tax_credit,FEDERAL,Federal program with state implementation,disabilities,"$2,400 per employee",,,,,,No,No,No,,https://ides.illinois.gov/jobs-workforce/programs/tax-credit.html,,medium,,"Federal tax credits for employers hiring economically disadvantaged workers, which may include some individuals with disabilities"
IL-011,Illinois Employment Incentives Program (2012-2016),Unknown Illinois Agency,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,disabilities,Unknown,,,,,,No,No,No,,http://www.employmentincentives.com/state_incentives/Illinois/il_tax_incentives.htm,,low,,"State tax credit program that ran from 2012-2016, some jobs created could be held by workers with disabilities"
IL-012,Illinois State Government Accommodated Testing Program,Illinois Department of Central Management Services,state,Illinois,,other,NON-INCENTIVE,Flagged as non-incentive by verification phase,disabilities,N/A,,,,,,No,No,No,,https://seed.csg.org/policy-curricula/state-as-a-model-employer/,,low,,Program ensuring applicants with disabilities can access state government employment exams - may include hiring preferences
IL-013,Alternative Employment Program for State Employees,Illinois Department of Central Management Services,state,Illinois,,other,NON-INCENTIVE,Flagged as non-incentive by verification phase,disabilities,N/A,,,,,,No,No,No,,https://careers.illinois.gov/employment-resources/disabpgm.html,,low,,Program helping current state employees who become disabled - may include accommodation supports for state agencies as employers
IL-014,Illinois Ex-Offender Tax Credit,Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,ex_offenders,5% of wages annually,,,,,,No,No,No,,https://www.jdsupra.com/legalnews/new-illinois-law-gives-employers-incenti-49068/,,high,,State income tax credit for employers hiring ex-offenders within three years of release
IL-015,Federal Bonding Program,U.S. Department of Labor (administered through IDES),federal,Illinois,,bonding,FEDERAL,Federal program with state implementation,ex_offenders,"Up to $25,000 coverage",,,,,,No,No,No,,https://ides.illinois.gov/jobs-workforce/programs/re-entry.html,,medium,,Free fidelity bonding insurance for employers hiring justice-impacted individuals
IL-016,Re-Entry Employment Service Program (RESP),Illinois Department of Employment Security (IDES),state,Illinois,,service,NON-INCENTIVE,Service does not provide tangible cost reduction for employers,ex_offenders,Varies,,,,,,No,No,No,,https://ides.illinois.gov/jobs-workforce/programs/re-entry.html,,low,,Employment services program that may include employer incentives or support services
IL-017,On-the-Job Training (OJT) Program,Illinois Department of Employment Security (IDES),federal,Illinois,,training_grant,FEDERAL,Federal program with state implementation,ex_offenders,Up to 50% wage reimbursement,,,,,,No,No,No,,https://ides.illinois.gov/jobs-workforce/programs/tax-credit.html,,medium,,Wage reimbursement for employers providing on-the-job training to eligible workers including ex-offenders
IL-018,Illinois Department of Human Services Ex-Offender Employment Programs,Illinois Department of Human Services,state,Illinois,,service,NON-INCENTIVE,Service does not provide tangible cost reduction for employers,ex_offenders,Varies,,,,,,No,No,No,,https://www.dhs.state.il.us/page.aspx?item=35568,,low,,Employment placement services that may include employer incentives or subsidies
