Program ID,Program Name,Agency,Jurisdiction Level,State,Locality,Category,Status,Status Details,Target Populations,Max Value,Value Type,Value Notes,Entity Types,Size Limits,Industry Restrictions,Candidate Address Matters,Work Site Address Matters,Employer HQ Matters,Custom Logic,Source URL,Source Citation,Confidence Level,Potential Issues,Notes
DE-001,Work Opportunity Tax Credit (WOTC) - Veterans,Internal Revenue Service / Colorado Department of Labor and Employment,federal,Denver,,tax_credit,ACTIVE,Program status indicates expired or discontinued,"ex_offenders, disabilities","$9,600 per employee",,,,,,No,No,No,,https://cdle.colorado.gov/employers/incentives-tax-credits,,high,, | WOTC expired 12/31/2025 - Pending Congressional reauthorization (historically reauthorized retroactively) | Historically reauthorized retroactively since 1996. Keep as ACTIVE with expiration warning.
DE-002,Denver Workforce Services Veteran Employment Program,City and County of Denver - Economic Development & Opportunity,local,Denver,,service,NON-INCENTIVE,Service does not provide tangible cost reduction for employers,veterans,Varies,,,,,,No,No,No,,https://denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Economic-Development-Opportunity/Search-Job-Opportunities-and-Top-Talent/For-Jobseekers/Veterans,,medium,,"Employer outreach and services including job development, placement assistance, and potential employer incentives through Denver Workforce Services"
DE-003,Local Veterans Employment Representative (LVER) Services,Colorado Department of Labor and Employment,state,Denver,,service,NON-INCENTIVE,Service does not provide tangible cost reduction for employers,veterans,Varies,,,,,,No,No,No,,https://cdle.colorado.gov/employers/recruiting-hiring/hiring-a-veteran,,medium,,Services to employers including veteran recruitment assistance and potential employer incentives through local workforce centers
DE-004,VOA Colorado Veteran Employment Services,Volunteers of America Colorado,local,Denver,,service,NON-INCENTIVE,Service does not provide tangible cost reduction for employers,veterans,Varies,,,,,,No,No,No,,https://www.voacolorado.org/services/veteran-employment/,,low,,Comprehensive employment package for veterans in Denver Metro area that may include employer incentives or services
DE-005,ReHire Colorado - Goodwill,Goodwill of Colorado,state,Denver,,training_grant,ACTIVE,Active training_grant program with direct employer benefit,veterans,Varies,,,,,,No,No,No,,https://goodwillcolorado.org/services/military-veterans/,,medium,,Transitional employment program that may provide wage subsidies or training grants for employers hiring veterans with barriers to employment
DE-006,Hire A Colorado Vet Program,State of Colorado,state,Denver,,unknown,ACTIVE,Active unknown program with direct employer benefit,veterans,Varies,,,,,,No,No,No,,https://www.hireacoloradovet.gov/,,medium,,State program promoting veteran hiring that may include employer incentives beyond WOTC
DE-007,Veterans Preference in City Contracting,City and County of Denver,local,Denver,,other,NON-INCENTIVE,Flagged as non-incentive by verification phase,veterans,Varies,,,,,,No,No,No,,https://denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Economic-Development-Opportunity/Search-Job-Opportunities-and-Top-Talent/For-Jobseekers/Veterans,,low,,Potential procurement preferences or bid advantages for veteran-owned businesses or employers hiring veterans
DE-008,Colorado Veterans Community Living Centers Employment Program,Colorado Department of Human Services,state,Denver,,service,NON-INCENTIVE,Service does not provide tangible cost reduction for employers,veterans,Varies,,,,,,No,No,No,,https://cdle.colorado.gov/employers/recruiting-hiring/hiring-a-veteran,,low,,Potential employer incentives for hiring veterans through state veterans services programs
DE-009,Job Growth Incentive Tax Credit,Colorado Department of Revenue,state,Denver,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,disabilities,Varies,,,,,,No,No,No,,http://www.employmentincentives.com/state_incentives/Colorado/co_tax_incentives.htm,,medium,,"Colorado tax credit intended to create jobs, potentially applicable for workers with disabilities"
DE-010,Denver Commission for People with Disabilities Employer Resources,City and County of Denver - Human Rights & Community Partnerships,local,Denver,,unknown,NON-INCENTIVE,Program does not provide direct benefit to employers,disabilities,Unknown,,,,,,No,No,No,,https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Human-Rights-Community-Partnerships/Commissions-Advisory-Board/Commission-for-People-with-Disabilities/Employment-In-the-City/Employer-Resources,,low,,"City resources for employers hiring people with disabilities, may include financial incentives"
