Program ID,Program Name,Agency,Jurisdiction Level,State,Locality,Category,Status,Status Details,Target Populations,Max Value,Value Type,Value Notes,Entity Types,Size Limits,Industry Restrictions,Candidate Address Matters,Work Site Address Matters,Employer HQ Matters,Custom Logic,Source URL,Source Citation,Confidence Level,Potential Issues,Notes
IL-001,Work Opportunity Tax Credit (WOTC) for Veterans,Illinois Department of Employment Security (IDES),federal,Illinois,,tax_credit,FEDERAL,Federal program with state implementation,veterans,"$9,600 per employee",,,,,,No,No,No,,https://ides.illinois.gov/employer-resources/hiring-solutions/veterans.html,,high,,"Federal tax credit for employers who hire qualified veterans, administered through IDES in Illinois"
IL-002,Illinois Veterans Tax Credit,Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,veterans,"$5,000 per employee annually",,,,,,No,No,No,,https://worknetdupage.org/employers/employer-hiring-credits/,,high,,"State income tax credit for employers who hire veterans of Operation Desert Storm, Operation Enduring Freedom, or Operation Iraqi Freedom"
IL-003,Work Opportunity Tax Credit (WOTC),Illinois Department of Employment Security (IDES),federal,Illinois,,tax_credit,FEDERAL,Federal program with state implementation,disabilities,"$2,400 per employee",,,,,,No,No,No,,https://ides.illinois.gov/jobs-workforce/programs/wotc.html,,high,,Federal tax credit for employers who hire individuals with disabilities who are receiving SSI or veterans with service-connected disabilities
IL-004,Illinois Income Tax Credit for Hiring Individuals with Developmental Disabilities,Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,disabilities,Varies,,,,,,No,No,No,,https://worknetdupage.org/employers/employer-hiring-credits/,,medium,,Illinois state income tax credit available to employers who hire and retain individuals with developmental disabilities or severe mental illness
IL-005,Work Opportunity Tax Credit (WOTC) - Ex-Felons,Illinois Department of Employment Security (IDES) / IRS,federal,Illinois,,tax_credit,FEDERAL,Federal program with state implementation,ex_offenders,"$2,400 per employee",,,,,,No,No,No,,https://ides.illinois.gov/jobs-workforce/programs/tax-credit.html,,high,,Federal tax credit for employers hiring qualified ex-felons within one year of conviction or release from prison
IL-006,Returning Citizens Credit (Ex-Felon Tax Credit),Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,ex_offenders,5% of wages paid,,,,,,No,No,No,,https://craykaiser.com/maximizing-tax-benefits-understanding-the-returning-citizens-credit/,,high,,"Illinois state tax credit equal to 5% of wages paid to qualified ex-felons, originally introduced in 2006"
IL-007,Illinois Formerly Incarcerated Hiring Tax Credit,Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,ex_offenders,"$7,500 per hire",,,,,,No,No,No,,https://www.chicagogreeninsulation.com/illinois-tax-credits-2025/,,medium,,"New Illinois tax credit beginning January 1, 2025, providing up to $7,500 per hire for employers hiring formerly incarcerated individuals"
IL-008,Federal Bonding Program,U.S. Department of Labor / Illinois Department of Employment Security,federal,Illinois,,bonding,FEDERAL,Federal program with state implementation,ex_offenders,"$25,000 coverage per employee",,,,,,No,No,No,,https://ides.illinois.gov/jobs-workforce/programs/re-entry.html,,high,,"Free fidelity bonding insurance for employers hiring at-risk job seekers including ex-offenders, protecting against employee theft"
IL-009,TANF Work Supplementation Program,Illinois Department of Human Services,state,Illinois,,wage_subsidy,ACTIVE,Active wage_subsidy program with direct employer benefit,tanf_snap,Varies,,,,,,No,No,No,,https://www.ilga.gov/ftp/JCAR/AdminCode/089/089001120C00780R.html,,high,,Program that pays wage subsidies to employers who hire TANF program participants
IL-010,Jobs Tax Credit (Chicago Loop),City of Chicago,local,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,youth,"Up to $2,100 for hiring high-risk youth",,,,,,No,No,No,,https://loopchicago.com/do-business/invest/incentive-programs/,,medium,,"Employer wage credits up to $2,100 for hiring 'high-risk youth' who reside in specific areas, part of Chicago's business incentive programs"
